Recipe Name,Country,Ingredients,Preparation Method,Portion,Yield,Preparation Time,Calories,Proteins,Carbohydrates,Fats,Fibers,Dietary Restrictions
Tomato and rosemary focaccia,Italy,"Bread dough (flour, water, yeast, salt), cherry tomatoes, rosemary, olive oil, salt","1. Prepare pasta, rest. 2. Open in shape. 3. Cover with tomatoes and rosemary, water olive oil. 4. Bake 20min to 200 ° C.",1 serving,6 portions,1h30 minutes,260,6,36,10,3,"Vegetarian, contains gluten"
Open Tomato and Cheese Esfiha,Syria,"Pasta for esfiha, tomatoes, mozzarella cheese, onion, olive oil, salt, pepper, oregano","1. Open the dough. 2. Cover with tomatoes, cheese, onions and spices. 3. Bake 15min to 200 ° C.",1 unit,8 portions,1h,220,8,28,10,2,"Contains gluten, lactose"
Chilean Pastelão (pastel of meat and tomato),Chile,"Pastelão pasta (flour, butter, egg), ground beef, tomato, onion, garlic, olive, boiled egg, salt, pepper","1. Sauté meat with onion, garlic, tomatoes and spices. 2. Assemble mass with filling and egg. 3. Bake 35min to 180 ° C.",1 slice,6 portions,1h30 minutes,480,20,40,26,4,"Contains gluten, eggs"
Capeletti in Brodo with tomato touch,Italy/Brazil,"Capeletti, chicken broth, naked tomatoes, parsley, salt, pepper",1. Heat the broth. 2. Add tomatoes and boil. 3. Cook Capeletti until al dente. 4. Serve with parsley.,1 dish,4 portions,30 minutes,300,10,45,5,2,Contains gluten
Penne Spring with tomatoes and vegetables,Italy,"Penne, naked tomatoes, broccoli, carrot, zucchini, garlic, olive oil, salt, pepper, Parmesan cheese","1. Cook penne with vegetables. 2. Sauté garlic, add tomatoes and cook. 3. Mix pasta and sprinkle Parmesan.",1 dish,4 portions,45 minutes,380,14,56,10,6,"Contains gluten, lactose"
SPAGHETTI ALLA CAPPRESE,Italy,"Spaghetti, fresh tomatoes, buffalo mozzarella, basil, garlic, olive oil, salt, pepper","1. Cook spaghetti. 2. Sauté garlic and tomato lightly. 3. Mix pasta, add mozzarella, basil and olive oil.",1 dish,4 portions,30 minutes,400,18,60,14,4,"Contains gluten, lactose"
Tabbouleh,Lebanon,"Wheat for kibe, tomatoes, parsley, mint, onion, lemon, olive oil, salt","1. Moisturize the wheat. 2. Chop tomato, parsley, mint and onion. 3. Mix everything, season with lemon, olive oil and salt.",1 dish,4 portions,20 minutes,180,4,30,6,5,"Vegan, gluten without partially"
Shrimp bobó,Brazil,"Shrimp, cassava, palm oil, coconut milk, onion, garlic, coriander, pepper, salt","1. Cook cassava until puree form. 2. Sauté onion and garlic, add shrimp. 3. Add puree, palm, coconut milk. 4. Cook and finish with coriander.",1 dish,4 portions,1h,480,22,40,28,6,Gluten without shrimp - allergenic
Mission soup,Japan,"MISSO paste, dashi broth, tofu, chives, wakame algae",1. Warm the broth without boiling. 2. Dissolve miso. 3. Add tofu and algae. 4. Serve with chives.,1 bowl,2 portions,15 minutes,90,6,4,6,1,"Vegetarian, contains soy"
Churros with dulce de leche,Spain,"Wheat flour, water, butter, salt, sugar, cinnamon, frying oil, dulce de leche","1. Make pasta, put in bag. 2. Extract in hot oil until golden brown. 3. Pass sugar with cinnamon. 4. Serve with dulce de leche.",1 serving (4 units),4 portions,30 minutes,350,5,45,15,2,"Contains gluten, lactose"
Falafel,Middle East,"Chickpeas, onion, garlic, coriander, cumin, salt, pepper, fry oil",1. Soaked chickpeas. 2. Process with spices. 3. Form dumplings and fry until golden brown.,1 serving (6 units),4 portions,1h,320,12,30,18,8,"Vegan, gluten without"
Tikka Masala Chicken,India,"Chicken, naked tomatoes, yogurt, spices (garam masala, cumin, turmeric), onion, garlic, ginger, sour cream, salt, pepper","1. Marinar chicken in yogurt and spices. 2. Grilling. 3. Sauté onion, garlic and ginger. 4. Add tomatoes, cream and chicken. 5. cook 10min.",1 dish,4 portions,1h20 minutes,520,30,12,36,3,"Contains lactose, chicken"
Potato pierogi,Poland,"Wheat flour, potatoes, onion, butter, salt, pepper, sour cream (optional)","1. Make pasta and rest. 2. Cook potatoes, knead with onion. 3. Stuffing mass discs. 4. Cook in water and brown in butter.",1 dish,4 portions,1h30 minutes,450,10,60,18,4,"Contains gluten, lactose"
Pad Thai,Thailand,"Rice noodles, shrimp or chicken, egg, bean sprouts, pepper, peanuts, tamarind, sugar, fish sauce, chives",1. Moisturize pasta. 2. Sauté protein and egg. 3. Add pasta and sauce. 4. Mix shoots and peanuts.,1 dish,4 portions,45 minutes,500,22,60,20,5,"Contains peanuts, egg, optional shrimp"
Argentine bread,Argentina,"Pasta for breaded, ground beef, onion, egg, olive, pepper, cumin, paprika, salt",1. Sauté meat with onion and spices. 2. Stuffing mass discs. 3. Brush with egg. 4. Bake 25min to 200 ° C.,1 unit,8 portions,1h,250,12,20,12,2,"Contains gluten, egg"
Red fruit cheesecake,United States,"Base: crushed cookie, butter; Filling: cream cheese, sugar, eggs; Coverage: Red fruits, jelly","1. Mix base and bake 10min. 2. Beat cream cheese, sugar and eggs. 3. Pour over base and bake 45min to 160 ° C. 4. Let cool, put fruits on top.",1 slice,8 portions,2h,430,7,35,28,2,"Contains gluten, lactose, eggs"
